"artist_in_archive","itunes_returned_WRONG","albums_we_hold","itunes_candidates (id — name — genre)","SUGGESTED_ID","confidence","CORRECT_ARTIST_ID","notes"
"Against Me!","Jx.Zero","Against Me! (1997) | Vivida Vis! (1998) | Tom Gabel Live at C.O.R.E. (2001) | Reinventing Axl Rose (2002)","6946251 — Against Me! — Alternative | 1851132241 — Against Me — Alternative | 1043679677 — Me Against Me 2 — Rock | 1081478090 — AgainstMe — Techno | 1848253380 — JudgeAgainstMe — Alternative | 1680922892 — It Against Me — Punk","","REVIEW — pick from candidates","",""
"Dr Sick","Solo Sounds","(no discography held)","1230754055 — Dr. Sick — Hip-Hop/Rap | 30865945 — Logic — Hip-Hop/Rap | 3973268 — Offset — Hip-Hop/Rap | 129045039 — Zac Brown Band — Country | 561444659 — Rich The Kid — Hip-Hop/Rap | 219350813 — The Neighbourhood — Alternative","1230754055","MEDIUM — exact name match, but no discography to corroborate","",""
"Drag The River","Pere Ubu","Live at the Starlight (2002) | Closed (2002) | Hobo's Demos (2003) | Chicken Demos (2004)","42042457 — Drag the River — Rock | 1708670222 — Down The River — Rock | 167328435 — Dead River Drag — Alternative","42042457","HIGH — only exact name match, and we hold albums","",""
"EarthGang","Sinéad Harnett","Mad Men (2011) | Hidden By The City (2011) | Good News (2011) | Shallow Graves For Toys (2013)","883745032 — EARTHGANG — Hip-Hop/Rap | 1542059092 — Olu from Earthgang —  | 1451631032 — Dreamville — Hip-Hop/Rap","883745032","HIGH — only exact name match, and we hold albums","",""
"Fear","Current Joys","The Record (1982) | More Beer (1985) | Live For the Record (1991) | Have Another Beer With Fear (1995)","1849983901 — FEAR — Hip-Hop/Rap | 45099030 — FEAR — Punk | 1483629642 — Fear — Metal | 835859033 — FEAR — Hip-Hop/Rap | 1547094807 — FEAR — Jungle/Drum'n'bass | 15773169 — Fear Factory — Metal","","REVIEW — pick from candidates","",""
"Hot Rod Lincoln","Asleep At The Wheel","The Boulevard (1996) | Blue Cafe (1998) | Astronaut Girl (2000) | Tokyo Bop!! (2003)","64900337 — Commander Cody & His Lost Planet Airmen — Rock | 280372295 — Hot Rod Lincoln — Rock | 165003000 — Buzz Campbell & Hot Rod Lincoln — Rock | 814340 — Asleep At The Wheel — Country","280372295","HIGH — only exact name match, and we hold albums","",""
"James","Laufey","Stutter (1986) | Strip‐Mine (1988) | One Man Clapping (1989) | Gold Mother (1990)","130451 — James — Rock | 1353244725 — James — Instrumental | 560652311 — Jess & James — Pop | 499931943 — James — Hip-Hop/Rap | 366217731 — James Napier — Pop | 1579909106 — James — Pop","","REVIEW — pick from candidates","",""
"Kiev","FRONDE","Falling Bough Wisdom Teeth (2013)","283049518 — Kiev — Hip-Hop/Rap | 1573926882 — Kiev — Hip-Hop/Rap | 1678936478 — Kiev — Hip-Hop/Rap | 1496826301 — Kiev — Hip-Hop/Rap | 1573926945 — Kiev — Dance | 1583931448 — Kiev — Hip-Hop/Rap","","REVIEW — pick from candidates","",""
"Me Not You","Pere Navarro & Kiko Navarro","Already Gone (2019) | do you feel the same? (2021)","1177786368 — Me Not You — Alternative | 1477023494 — Not Equal Me — J-Pop | 265224091 — You Me At Six — Rock | 1475205605 — It's Not You, It's Me — Rock | 979159673 — If Not for Me — Metal | 916315636 — You+Me — Pop","1177786368","HIGH — only exact name match, and we hold albums","",""
"Midnight Oil","Elley Duhé & Whethan","Midnight Oil (1978) | Head Injuries (1979) | Place Without a Postcard (1981) | 10,9,8,7,6,5,4,3,2,1 (1982)","18747421 — Midnight Oil — Rock | 1480517801 — Burning the Midnight Oil — Alternative | 78500 — U2 — Rock | 158038 — Fleetwood Mac — Rock | 28446224 — The Alchemist — Hip-Hop/Rap | 675391681 — Larry June — Hip-Hop/Rap","18747421","HIGH — only exact name match, and we hold albums","",""
