venue,city,state,status,closed_date,notes
Irvine Meadows,Irvine,California,demolished,2016-10-30,Demolished for residential development
Knots Berry Farm,Buena Park,California,active,,
Pacific Amphitheatre,Costa Mesa,California,active,,
Hollywood Park Racetrack,Inglewood,California,demolished,2013-12-22,Demolished for SoFi Stadium development
Los Angeles Memorial Coliseum,Los Angeles,California,active,,
UCLA,Los Angeles,California,active,,
Crawford Hall,Irvine,California,active,,
Caliente Racetrack,Tijuana,Mexico,active,,
Disneyland,Anaheim,California,active,,
The Rose Bowl,Pasadena,California,active,,
Mesa Amphitheatre,Mesa,Arizona,active,,
Arizona Veterans Memorial Coliseum,Phoenix,Arizona,active,,
Universal Amphitheater,Los Angeles,California,demolished,,Demolished after our last show there in 2005; exact date unverified
Jets,Long Beach,California,closed,1990-12-31,Club closed in 1990
Kia Forum,Inglewood,California,active,,Formerly The Forum and Staples Center
Dodger Stadium,Los Angeles,California,active,,
Hollywood Palladium,Hollywood,California,active,,
Cal State Fullerton,Fullerton,California,active,,
Long Beach Arena,Long Beach,California,active,,
The Celebrity Theatre,Anaheim,California,renamed,2008-01-01,Renamed City National Grove of Anaheim
The Coach House,San Juan Capistrano,California,active,,
Olympic Velodrome,Carson,California,demolished,2003-01-01,Demolished for Dignity Health Sports Park (Home Depot Center)
Hard Rock Cafe,Newport Beach,California,active,,
The Galaxy Theatre,Santa Ana,California,renamed,2011-01-01,Renamed The Observatory
Paradise Rock Club,Boston,Massachusetts,active,,
The Grove of Anaheim,Anaheim,California,active,,
House of Blues Anaheim,Anaheim,California,active,,
Hyundai Pavilion,San Bernardino,California,active,,
Hard Rock Hotel Las Vegas,Las Vegas,Nevada,active,,
Staples Center,Los Angeles,California,renamed,2021-12-25,Renamed Crypto.com Arena
Nokia Center,Los Angeles,California,renamed,2015-01-01,Renamed Microsoft Theater (now Peacock Theater)
Doheny,Dana Point,California,active,,
EagleBank Arena,Fairfax,Virginia,active,,
9:30 Club,Washington,District of Columbia,active,,
The Black Cat,Washington,District of Columbia,active,,
The Ballroom,Baltimore,Maryland,active,,
Wolftrap,Vienna,Virginia,active,,
Rams Head Live! Baltimore,Baltimore,Maryland,active,,
Capitol One Arena,Washington,District of Columbia,active,,
The Fillmore Silver Spring,Silver Spring,Maryland,active,,
Howard Theater,Washington,District of Columbia,active,,
The Strathmore,Bethesda,Maryland,active,,
The Hamilton Live,Washington,District of Columbia,active,,
Rams Head Center Stage,Hanover,Maryland,active,,
Pier 6 Pavillion,Baltimore,Maryland,active,,
DAR Constitution Hall,Washington,District of Columbia,active,,
RFK Stadium,Washington,District of Columbia,demolished,2019-09-15,Demolished
Bethesda Jazz and Blues Club,Bethesda,Maryland,active,,
Birchmere,Alexandria,Virginia,active,,
National Museum of African American History and Culture,Washington,District of Columbia,active,,
MGM National Harbor,Washington,District of Columbia,active,,
DC9 Nightclub,Washington,District of Columbia,active,,
Sixth & I Synagogue,Washington,District of Columbia,active,,
The Anthem,Washington,District of Columbia,active,,
Lincoln Theatre,Washington,District of Columbia,active,,
Warner Theatre,Washington,District of Columbia,active,,
Huntington State Beach,Huntington Beach,California,active,,
Carpenter Performing Arts Center,Long Beach,California,active,,
Capital One Center,Washington,District of Columbia,active,,
The Observatory,Santa Ana,California,active,,
The Shrine Auditorium,Los Angeles,California,active,,
Dolby Theatre,Hollywood,California,active,,
Mozambique,Laguna Beach,California,active,,
OC Fair & Event Center,Costa Mesa,California,active,,
Orpheum Theatre,Los Angeles,California,active,,
Theatre at the Ace Hotel,Los Angeles,California,active,,
YouTube Theatre,Inglewood,California,active,,
Hollywood Bowl,Hollywood,California,active,,
The Belly Up Tavern,Solana Beach,California,active,,
21st Amendment,New Orleans,Louisiana,active,,
The Wiltern,Los Angeles,California,active,,
The Belasco,Los Angeles,California,active,,
Peacock Theater,Los Angeles,California,active,,
The Roxy,Hollywood,California,active,,
MGM Music Hall at Fenway,Boston,Massachusetts,active,,
Pavilion Theatre,Glasgow,UK,active,,
Club Caprice,Redondo Beach,California,closed,,"Former address: 1700 S. Pacific Coast Hwy, Redondo Beach, CA 90277"

